CountryExp,NewConfCases,NewDeaths
Afghanistan,22,0
Albania,55,1
Algeria,60,5
Andorra,14,0
Antigua and Barbuda,1,0
Argentina,79,2
Armenia,78,0
Australia,454,5
Austria,1332,3
Azerbaijan,28,0
Bahamas (the),1,0
Bahrain,237,1
Bangladesh,8,0
Barbados,1,0
Belarus,36,0
Belgium,1243,5
Benin,1,0
Bhutan,1,0
Bolivia (Plurinational State of),12,0
Bosnia and Herzegovina,21,0
Brazil,291,1
Brunei Darussalam,56,0
Bulgaria,81,2
Burkina Faso,20,0
CASES ON AN INTERNATIONAL CONVEYANCE JAPAN,696,7
Cambodia,24,0
Cameroon,10,0
Canada,569,8
Central African Republic (the),1,0
Chile,201,0
China,81163,3242
Colombia,65,0
Congo (the Democratic Republic of the),6,0
Congo (the),1,0
Costa Rica,50,0
Cote d'Ivoire,5,0
Croatia,69,0
Cuba,7,0
Cyprus,40,0
Czechia,434,0
Denmark,1024,4
Dominican Republic (the),11,0
Ecuador,111,2
Egypt,166,4
Equatorial Guinea,1,0
Estonia,225,0
Eswatini,1,0
Ethiopia,5,0
Finland,319,0
France,7730,175
Gabon,1,0
Gambia (the),1,0
Georgia,34,0
Germany,7156,13
Ghana,6,0
Greece,387,5
Guatemala,6,1
Guinea,1,0
Guyana,4,1
Holy See (the),1,0
Honduras,9,0
Hungary,50,1
Iceland,247,0
India,137,3
Indonesia,172,5
Iran (Islamic Republic of),16169,988
Iraq,154,11
Ireland,292,2
Israel,427,0
Italy,31506,2505
Jamaica,13,0
Japan,829,28
Jordan,35,0
Kazakhstan,33,0
Kenya,4,0
Korea (the Republic of),8413,86
Kosovo,19,0
Kuwait,130,0
Latvia,61,0
Lebanon,120,3
Liberia,2,0
Liechtenstein,7,0
Lithuania,25,0
Luxembourg,140,1
Malaysia,673,2
Maldives,13,0
Malta,38,0
Mauritania,1,0
Mexico,93,0
Moldova (the Republic of),30,0
Monaco,9,0
Mongolia,4,0
Montenegro,2,0
Morocco,44,2
Myanmar,0,0
Namibia,2,0
Nepal,1,0
Netherlands (the),1705,24
New Zealand,20,0
Nigeria,3,0
Norway,1308,3
Oman,24,0
Pakistan,187,0
"Palestine, State of",41,0
Panama,86,1
Paraguay,11,0
Peru,117,0
Philippines (the),187,14
Poland,238,5
Portugal,448,1
Qatar,442,0
Republic of North Macedonia,31,0
Romania,217,0
Russian Federation (the),114,0
Rwanda,7,0
Saint Lucia,2,0
Saint Vincent and the Grenadines,1,0
San Marino,104,11
Saudi Arabia,133,0
Senegal,31,0
Serbia,72,0
Seychelles,4,0
Singapore,266,0
Slovakia,97,0
Slovenia,275,1
Somalia,1,0
South Africa,85,0
Spain,11178,491
Sri Lanka,42,0
Sudan (the),1,1
Suriname,1,0
Sweden,1167,8
Switzerland,2650,19
Taiwan (Province of China),77,4
"Tanzania, United Republic of",1,0
Thailand,177,1
Togo,1,0
Trinidad and Tobago,7,0
Tunisia,24,0
Turkey,98,0
Ukraine,14,0
United Arab Emirates (the),113,0
United Kingdom of Great Britain and Northern Ireland (the),1950,60
United States of America (the),6427,108
Uruguay,50,0
Uzbekistan,16,0
Venezuela (Bolivarian Republic of),33,0
Viet Nam,61,0
